171.5,52.158,57.361,52.884,51.202
172,52.207,57.421,52.973,51.274
172.5,52.278,57.483,53.076,51.347
173,52.52,57.527,53.154,51.434
173.5,52.682,57.565,53.251,51.508
174,52.8,57.588,53.325,51.575
174.5,52.924,57.609,53.41,51.645
175,53.053,57.627,53.486,51.704
175.5,53.193,57.631,53.565,51.781
176,53.33,57.64,53.636,51.847
176.5,53.483,57.647,53.696,51.908
177,53.618,57.649,53.762,51.96
177.5,53.732,57.673,53.821,52.023
178,53.824,57.707,53.874,52.067
178.5,53.922,57.751,53.931,52.128
179,53.982,57.804,53.978,52.171
179.5,53.96,57.879,54.027,52.225
180,53.936,57.959,54.068,52.276
180.5,53.918,58.047,54.117,52.311
181,53.907,58.134,54.178,52.37
181.5,53.894,58.23,54.251,52.426
182,53.899,58.324,54.307,52.467
182.5,53.917,58.415,54.381,52.525
183,53.951,58.514,54.46,52.598
183.5,53.995,58.606,54.553,52.654
184,54.039,58.686,54.624,52.717
184.5,54.088,58.769,54.706,52.786
185,54.14,58.834,54.803,52.864
185.5,54.205,58.903,54.893,52.929
186,54.4,58.945,54.972,53.003
186.5,54.623,59.007,55.052,53.066
187,54.733,59.023,55.138,53.139
187.5,54.858,59.064,55.213,53.215
188,54.981,59.082,55.296,53.282
188.5,55.106,59.105,55.361,53.341
189,55.232,59.122,55.436,53.402
189.5,55.39,59.135,55.496,53.475
190,55.555,59.156,55.562,53.533
190.5,55.665,59.16,55.612,53.586
191,55.769,59.185,55.683,53.635
191.5,55.874,59.23,55.734,53.696
192,55.96,59.269,55.784,53.751
192.5,55.957,59.322,55.83,53.806
193,55.922,59.385,55.872,53.847
193.5,55.891,59.449,55.928,53.892
194,55.867,59.536,55.981,53.947
194.5,55.856,59.616,56.036,53.997
195,55.853,59.694,56.102,54.036
195.5,55.861,59.777,56.169,54.094
196,55.881,59.871,56.252,54.15
196.5,55.918,59.951,56.317,54.203
197,55.952,60.033,56.392,54.266
197.5,55.981,60.105,56.473,54.33
198,56.03,60.184,56.55,54.4
198.5,56.079,60.24,56.631,54.455
199,56.15,60.308,56.715,54.516
199.5,56.476,60.351,56.787,54.594
200,56.627,60.397,56.871,54.661
200.5,56.731,60.432,56.948,54.717
201,56.842,60.459,57.014,54.79
201.5,56.955,60.491,57.08,54.848
202,57.091,60.521,57.152,54.919
202.5,57.242,60.541,57.21,54.974
203,57.418,60.555,57.286,55.033
203.5,57.545,60.574,57.329,55.084
204,57.644,60.606,57.398,55.145
204.5,57.753,60.634,57.446,55.19
205,57.844,60.659,57.508,55.243
205.5,57.888,60.7,57.559,55.291
206,57.855,60.748,57.604,55.348
206.5,57.82,60.804,57.666,55.392
207,57.789,60.873,57.708,55.442
207.5,57.76,60.95,57.762,55.485
208,57.745,61.024,57.831,55.538
208.5,57.742,61.096,57.895,55.572
209,57.755,61.166,57.959,55.645
209.5,57.781,61.262,58.031,55.685
210,57.809,61.333,58.105,55.748
210.5,57.844,61.404,58.174,55.796
211,57.885,61.479,58.258,55.859
211.5,57.924,61.54,58.331,55.927
212,57.969,61.603,58.405,55.987
212.5,58.238,61.664,58.479,56.049
